file,decision,area,cx,cy,offset,blob_count,model_top1,model_top1_prob,model_label_prob,clip_top1,clip_top1_prob,clip_label_prob,reason
aihub_paper_001647.jpg,fail,0.0998,0.617,0.4053,0.1506,2,,,,etc,0.3481,0.0061,area<0.18
aihub_paper_001648.jpg,fail,0.2394,0.5433,0.3164,0.1887,3,,,,plastic,0.6144,0.0014,blobs>2
aihub_paper_001649.jpg,fail,0.1013,0.6071,0.2638,0.2594,1,,,,trash,0.4603,0.0012,"area<0.18,offset>0.25"
aihub_paper_001650.jpg,pass,0.2022,0.6154,0.661,0.1981,2,,,,trash,0.8462,0.0002,
aihub_paper_001651.jpg,fail,0.2043,0.5112,0.2554,0.2449,3,,,,plastic,0.4593,0.0051,blobs>2
aihub_paper_001652.jpg,fail,0.2305,0.6953,0.6729,0.2608,2,,,,trash,0.8999,0.0003,offset>0.25
aihub_paper_001653.jpg,fail,0.2634,0.5682,0.6294,0.1463,4,,,,plastic,0.6189,0.0032,blobs>2
aihub_paper_001654.jpg,fail,0.3166,0.522,0.4216,0.0814,4,,,,plastic,0.7426,0.0003,blobs>2
aihub_paper_001655.jpg,fail,0.0962,0.6152,0.5074,0.1154,1,,,,etc,0.3557,0.001,area<0.18
aihub_paper_001656.jpg,fail,0.2666,0.742,0.6004,0.262,1,,,,trash,0.6273,0.0076,offset>0.25
aihub_paper_001657.jpg,fail,0.0579,0.5121,0.7561,0.2564,1,,,,trash,0.658,0.0042,"area<0.18,offset>0.25"
aihub_paper_001658.jpg,pass,0.6361,0.384,0.4279,0.1366,2,,,,trash,0.5327,0.0066,
aihub_paper_001659.jpg,fail,0.2461,0.569,0.2469,0.2623,4,,,,plastic,0.521,0.0009,"offset>0.25,blobs>2"
aihub_paper_001660.jpg,pass,0.2692,0.5261,0.5315,0.0409,1,,,,plastic,0.4932,0.0012,
aihub_paper_001661.jpg,fail,0.0762,0.553,0.4021,0.1113,3,,,,trash,0.5564,0.0005,"area<0.18,blobs>2"
aihub_paper_001662.jpg,pass,0.5854,0.4546,0.4948,0.0457,1,,,,trash,0.5609,0.0016,
aihub_paper_001663.jpg,fail,0.2042,0.6047,0.6535,0.1858,4,,,,trash,0.7602,0.0003,blobs>2
aihub_paper_001664.jpg,pass,0.4445,0.4854,0.5197,0.0245,1,,,,plastic,0.4133,0.0003,
aihub_paper_001665.jpg,pass,0.2433,0.6413,0.3425,0.2116,1,,,,trash,0.6896,0.0071,
aihub_paper_001666.jpg,fail,0.1186,0.5597,0.1889,0.3168,2,,,,plastic,0.5189,0.0022,"area<0.18,offset>0.25"
aihub_paper_001667.jpg,pass,0.2092,0.6838,0.5359,0.1873,2,,,,trash,0.5951,0.0032,
aihub_paper_001668.jpg,fail,0.0883,0.2892,0.4945,0.2109,2,,,,metal,0.5427,0.017,area<0.18
aihub_paper_001669.jpg,fail,0.1882,0.6438,0.6962,0.2433,4,,,,plastic,0.5924,0.0007,blobs>2
aihub_paper_001670.jpg,fail,0.2628,0.5121,0.6126,0.1132,4,,,,trash,0.5002,0.0001,blobs>2
aihub_paper_001671.jpg,fail,0.1179,0.3408,0.2325,0.3113,2,,,,trash,0.5315,0.0099,"area<0.18,offset>0.25"
aihub_paper_001672.jpg,fail,0.2039,0.5595,0.1753,0.3301,1,,,,plastic,0.4446,0.0009,offset>0.25
aihub_paper_001673.jpg,fail,0.0988,0.8099,0.4888,0.3101,1,,,,trash,0.5082,0.0115,"area<0.18,offset>0.25"
aihub_paper_001674.jpg,pass,0.2712,0.7204,0.4994,0.2204,1,,,,trash,0.6846,0.0069,
aihub_paper_001675.jpg,fail,0.0976,0.8078,0.3734,0.3328,1,,,,trash,0.7111,0.0286,"area<0.18,offset>0.25"
aihub_paper_001676.jpg,fail,0.1825,0.7166,0.257,0.3255,2,,,,plastic,0.4349,0.0023,offset>0.25
aihub_paper_001677.jpg,fail,0.141,0.6826,0.854,0.3983,1,,,,trash,0.7102,0.0008,"area<0.18,offset>0.25"
aihub_paper_001678.jpg,fail,0.573,0.3518,0.5361,0.1525,4,,,,food_waste,0.5217,0.0028,blobs>2
aihub_paper_001679.jpg,pass,0.2528,0.4249,0.3289,0.1868,1,,,,trash,0.7127,0.0008,
aihub_paper_001680.jpg,fail,0.0859,0.325,0.4475,0.1828,2,,,,plastic,0.5364,0.0092,area<0.18
aihub_paper_001681.jpg,pass,0.3196,0.407,0.4505,0.1053,1,,,,trash,0.6309,0.0006,
aihub_paper_001682.jpg,fail,0.1277,0.7326,0.1943,0.3841,1,,,,plastic,0.451,0.0017,"area<0.18,offset>0.25"
aihub_paper_001683.jpg,fail,0.0362,0.3693,0.5225,0.1326,1,,,,plastic,0.7704,0.0001,area<0.18
aihub_paper_001684.jpg,fail,0.012,0.4191,0.572,0.1083,1,,,,vinyl,0.3881,0.0521,area<0.18
aihub_paper_001685.jpg,pass,0.7001,0.3727,0.4846,0.1282,1,,,,trash,0.5269,0.0015,
aihub_paper_001686.jpg,fail,0.0362,0.3564,0.3937,0.1787,3,,,,metal,0.4863,0.0024,"area<0.18,blobs>2"
aihub_paper_001687.jpg,fail,0.5089,0.4523,0.4657,0.0588,5,,,,trash,0.7155,0.002,blobs>2
aihub_paper_001688.jpg,fail,0.1923,0.6171,0.4525,0.1263,3,,,,trash,0.5422,0.0006,blobs>2
aihub_paper_001689.jpg,pass,0.7042,0.3836,0.537,0.1221,1,,,,trash,0.4818,0.0008,
aihub_paper_001690.jpg,fail,0.3137,0.6255,0.503,0.1255,4,,,,trash,0.4608,0.0007,blobs>2
aihub_paper_001691.jpg,fail,0.1341,0.4877,0.6014,0.1021,1,,,,plastic,0.8001,0.0001,area<0.18
aihub_paper_001692.jpg,fail,0.2949,0.6039,0.4022,0.1427,4,,,,vinyl,0.4299,0.0014,blobs>2
aihub_paper_001693.jpg,fail,0.2018,0.6394,0.2844,0.2568,1,,,,trash,0.5999,0.0009,offset>0.25
aihub_paper_001694.jpg,fail,0.1971,0.3456,0.3576,0.21,3,,,,plastic,0.8463,0.0,blobs>2
aihub_paper_001695.jpg,pass,0.6591,0.3884,0.5762,0.1351,1,,,,trash,0.4579,0.0007,
aihub_paper_001696.jpg,fail,0.1107,0.3613,0.2397,0.2949,2,,,,plastic,0.3047,0.0113,"area<0.18,offset>0.25"
aihub_paper_001697.jpg,fail,0.1532,0.3037,0.402,0.2194,3,,,,plastic,0.428,0.001,"area<0.18,blobs>2"
aihub_paper_001698.jpg,pass,0.675,0.5185,0.4201,0.082,1,,,,styrofoam,0.3679,0.0051,
aihub_paper_001699.jpg,fail,0.0588,0.5188,0.2588,0.242,1,,,,trash,0.3282,0.004,area<0.18
aihub_paper_001700.jpg,fail,0.1305,0.405,0.5164,0.0965,2,,,,trash,0.3359,0.0026,area<0.18
aihub_paper_001701.jpg,pass,0.4499,0.4796,0.402,0.1001,1,,,,plastic,0.5308,0.0002,
aihub_paper_001702.jpg,fail,0.0896,0.3196,0.392,0.2102,3,,,,plastic,0.5559,0.0094,"area<0.18,blobs>2"
aihub_paper_001703.jpg,fail,0.0123,0.4201,0.2995,0.2158,1,,,,vinyl,0.287,0.0617,area<0.18
aihub_paper_001704.jpg,fail,0.0279,0.6591,0.38,0.1993,4,,,,trash,0.5345,0.0011,"area<0.18,blobs>2"
aihub_paper_001705.jpg,fail,0.1044,0.3381,0.3397,0.2279,3,,,,plastic,0.8825,0.0028,"area<0.18,blobs>2"
aihub_paper_001706.jpg,fail,0.0387,0.334,0.6471,0.2218,2,,,,etc,0.4879,0.0119,area<0.18
aihub_paper_001707.jpg,fail,0.1275,0.382,0.2558,0.2712,1,,,,plastic,0.7644,0.0002,"area<0.18,offset>0.25"
aihub_paper_001708.jpg,fail,0.4329,0.299,0.4174,0.2173,3,,,,vinyl,0.6237,0.0333,blobs>2
aihub_paper_001709.jpg,pass,0.4531,0.2978,0.4556,0.2071,1,,,,vinyl,0.401,0.0397,
aihub_paper_001710.jpg,fail,0.0425,0.4851,0.5817,0.083,2,,,,trash,0.7904,0.0121,area<0.18
aihub_paper_001711.jpg,pass,0.2882,0.5045,0.4554,0.0448,1,,,,plastic,0.7398,0.0001,
aihub_paper_001712.jpg,fail,0.0191,0.3245,0.7247,0.2851,1,,,,trash,0.6255,0.0096,"area<0.18,offset>0.25"
aihub_paper_001713.jpg,pass,0.4679,0.3008,0.4597,0.2032,1,,,,metal,0.2762,0.0216,
aihub_paper_001714.jpg,pass,0.2135,0.6194,0.5047,0.1195,2,,,,trash,0.5463,0.0006,
aihub_paper_001715.jpg,fail,0.173,0.2063,0.3497,0.3299,2,,,,etc,0.439,0.014,"area<0.18,offset>0.25"
aihub_paper_001716.jpg,fail,0.0366,0.5787,0.6643,0.1821,2,,,,vinyl,0.4915,0.0199,area<0.18
aihub_paper_001717.jpg,pass,0.3384,0.4832,0.6523,0.1533,1,,,,plastic,0.5275,0.0016,
aihub_paper_001718.jpg,fail,0.0576,0.5146,0.5071,0.0162,1,,,,trash,0.4158,0.0124,area<0.18
aihub_paper_001719.jpg,fail,0.0909,0.3925,0.292,0.2342,2,,,,plastic,0.4374,0.0044,area<0.18
aihub_paper_001720.jpg,fail,0.0363,0.4347,0.4015,0.1182,2,,,,trash,0.4732,0.0165,area<0.18
aihub_paper_001721.jpg,fail,0.0399,0.4041,0.2148,0.3009,3,,,,plastic,0.8791,0.0,"area<0.18,offset>0.25,blobs>2"
aihub_paper_001722.jpg,fail,0.0803,0.267,0.4094,0.25,3,,,,metal,0.6904,0.0029,"area<0.18,blobs>2"
aihub_paper_001723.jpg,pass,0.3916,0.5433,0.4866,0.0453,1,,,,plastic,0.877,0.0,
aihub_paper_001724.jpg,pass,0.6348,0.5074,0.6112,0.1115,1,,,,trash,0.3854,0.0274,
aihub_paper_001725.jpg,pass,0.2055,0.4194,0.3632,0.1588,2,,,,plastic,0.8136,0.0002,
aihub_paper_001726.jpg,pass,0.3238,0.4591,0.4945,0.0412,2,,,,plastic,0.5344,0.0003,
aihub_paper_001727.jpg,fail,0.1826,0.2056,0.3785,0.3185,2,,,,etc,0.234,0.0208,offset>0.25
aihub_paper_001728.jpg,fail,0.1108,0.6971,0.7198,0.2952,1,,,,trash,0.7628,0.0006,"area<0.18,offset>0.25"
aihub_paper_001729.jpg,fail,0.0235,0.4927,0.1369,0.3632,2,,,,plastic,0.817,0.0001,"area<0.18,offset>0.25"
aihub_paper_001730.jpg,pass,0.1924,0.4362,0.2779,0.2311,1,,,,plastic,0.4568,0.0006,
aihub_paper_001731.jpg,fail,0.1295,0.592,0.3254,0.1974,1,,,,plastic,0.7411,0.0002,area<0.18
aihub_paper_001732.jpg,fail,0.5303,0.546,0.6622,0.1686,4,,,,styrofoam,0.7219,0.0235,blobs>2
aihub_paper_001733.jpg,pass,0.5278,0.4793,0.4493,0.0548,1,,,,plastic,0.8979,0.0001,
aihub_paper_001734.jpg,fail,0.3762,0.5478,0.3993,0.1115,3,,,,plastic,0.7502,0.0001,blobs>2
aihub_paper_001735.jpg,fail,0.1799,0.4409,0.5432,0.0732,1,,,,plastic,0.8641,0.0001,area<0.18
aihub_paper_001736.jpg,fail,0.1288,0.5759,0.5209,0.0788,2,,,,plastic,0.7167,0.0002,area<0.18
aihub_paper_001737.jpg,pass,0.4919,0.4458,0.4818,0.0572,2,,,,plastic,0.7414,0.0007,
aihub_paper_001738.jpg,fail,0.3104,0.5238,0.7565,0.2576,1,,,,trash,0.5769,0.0002,offset>0.25
aihub_paper_001739.jpg,pass,0.3456,0.393,0.288,0.2374,1,,,,styrofoam,0.7442,0.0114,
aihub_paper_001740.jpg,pass,0.1979,0.5545,0.6267,0.1379,1,,,,plastic,0.8962,0.0,
aihub_paper_001741.jpg,pass,0.2904,0.4712,0.7229,0.2248,1,,,,plastic,0.6405,0.0002,
aihub_paper_001742.jpg,pass,0.5289,0.4673,0.512,0.0349,2,,,,plastic,0.9321,0.0001,
aihub_paper_001743.jpg,pass,0.354,0.5044,0.4873,0.0134,2,,,,trash,0.4954,0.0002,
aihub_paper_001744.jpg,fail,0.4811,0.4753,0.575,0.079,3,,,,plastic,0.7314,0.0008,blobs>2
aihub_paper_001745.jpg,pass,0.3943,0.4739,0.5941,0.0976,1,,,,trash,0.5528,0.0026,
aihub_paper_001746.jpg,fail,0.0612,0.4475,0.7352,0.241,2,,,,plastic,0.7869,0.0002,area<0.18
aihub_paper_001747.jpg,fail,0.0471,0.459,0.5668,0.0783,3,,,,plastic,0.8289,0.0002,"area<0.18,blobs>2"
aihub_paper_001748.jpg,fail,0.1604,0.4669,0.3134,0.1895,4,,,,plastic,0.9418,0.0,"area<0.18,blobs>2"
aihub_paper_001749.jpg,fail,0.0753,0.6519,0.4359,0.1648,4,,,,plastic,0.6811,0.0001,"area<0.18,blobs>2"
aihub_paper_001750.jpg,pass,0.5192,0.5238,0.5655,0.0697,2,,,,trash,0.7035,0.0002,
aihub_paper_001751.jpg,fail,0.1244,0.4442,0.5162,0.0581,4,,,,trash,0.5299,0.0003,"area<0.18,blobs>2"
aihub_paper_001752.jpg,fail,0.0391,0.7974,0.4276,0.3061,3,,,,plastic,0.9123,0.0,"area<0.18,offset>0.25,blobs>2"
aihub_paper_001753.jpg,fail,0.7767,0.5181,0.576,0.0781,3,,,,trash,0.4322,0.0299,blobs>2
aihub_paper_001754.jpg,fail,0.0409,0.7036,0.5128,0.204,5,,,,plastic,0.7645,0.0,"area<0.18,blobs>2"
aihub_paper_001755.jpg,pass,0.8244,0.5106,0.5612,0.0621,2,,,,styrofoam,0.4756,0.0712,
aihub_paper_001756.jpg,pass,0.484,0.4469,0.5562,0.0773,1,,,,trash,0.8486,0.0009,
aihub_paper_001757.jpg,pass,0.4818,0.4861,0.5636,0.0651,2,,,,trash,0.7895,0.0003,
aihub_paper_001758.jpg,fail,0.121,0.6469,0.4295,0.1629,2,,,,plastic,0.6528,0.0001,area<0.18
aihub_paper_001759.jpg,pass,0.1958,0.4524,0.624,0.1329,2,,,,plastic,0.8241,0.0001,
aihub_paper_001760.jpg,fail,0.1056,0.5028,0.4457,0.0544,2,,,,plastic,0.5919,0.0002,area<0.18
aihub_paper_001761.jpg,fail,0.1382,0.5158,0.3682,0.1327,1,,,,trash,0.6738,0.0003,area<0.18
aihub_paper_001762.jpg,pass,0.2112,0.4211,0.4178,0.114,2,,,,trash,0.5481,0.0034,
aihub_paper_001763.jpg,pass,0.3955,0.54,0.6885,0.1927,2,,,,plastic,0.6023,0.0001,
aihub_paper_001764.jpg,pass,0.4796,0.4198,0.529,0.0853,1,,,,plastic,0.5156,0.0017,
aihub_paper_001765.jpg,fail,0.1144,0.4205,0.2704,0.2429,2,,,,plastic,0.5396,0.0002,area<0.18
aihub_paper_001766.jpg,fail,0.1766,0.5205,0.4663,0.0395,1,,,,plastic,0.7465,0.0,area<0.18
aihub_paper_001767.jpg,fail,0.3459,0.4636,0.5696,0.0785,3,,,,trash,0.8581,0.0006,blobs>2
aihub_paper_001768.jpg,fail,0.274,0.5607,0.6247,0.1387,4,,,,plastic,0.854,0.0,blobs>2
aihub_paper_001769.jpg,fail,0.0623,0.2499,0.4694,0.2519,1,,,,trash,0.6694,0.0005,"area<0.18,offset>0.25"
aihub_paper_001770.jpg,fail,0.3557,0.4971,0.7217,0.2217,3,,,,plastic,0.5217,0.0002,blobs>2
aihub_paper_001771.jpg,fail,0.3768,0.4953,0.5388,0.0391,3,,,,plastic,0.8732,0.0,blobs>2
aihub_paper_001772.jpg,fail,0.2955,0.5288,0.7636,0.2651,2,,,,plastic,0.8781,0.0,offset>0.25
aihub_paper_001773.jpg,pass,0.3575,0.5595,0.4404,0.0842,1,,,,plastic,0.5399,0.0002,
aihub_paper_001774.jpg,pass,0.5035,0.4904,0.5255,0.0273,1,,,,plastic,0.8826,0.0,
aihub_paper_001775.jpg,pass,0.3257,0.4653,0.5753,0.083,1,,,,trash,0.9302,0.0009,
aihub_paper_001776.jpg,fail,0.2135,0.5642,0.7903,0.2973,1,,,,plastic,0.8297,0.0001,offset>0.25
aihub_paper_001777.jpg,pass,0.2016,0.6234,0.6969,0.2323,1,,,,trash,0.5893,0.0004,
aihub_paper_001778.jpg,fail,0.0861,0.2449,0.4375,0.2627,2,,,,trash,0.7984,0.0002,"area<0.18,offset>0.25"
aihub_paper_001779.jpg,pass,0.5799,0.4748,0.4858,0.029,2,,,,trash,0.9507,0.0005,
aihub_paper_001780.jpg,fail,0.1438,0.7208,0.431,0.2313,1,,,,plastic,0.7362,0.0004,area<0.18
aihub_paper_001781.jpg,fail,0.2273,0.4443,0.4541,0.0721,5,,,,trash,0.7536,0.0013,blobs>2
aihub_paper_001782.jpg,fail,0.1029,0.4647,0.4279,0.0802,1,,,,plastic,0.6734,0.0001,area<0.18
aihub_paper_001783.jpg,fail,0.1086,0.5478,0.5979,0.1089,4,,,,plastic,0.8424,0.0001,"area<0.18,blobs>2"
aihub_paper_001784.jpg,pass,0.3339,0.5887,0.5646,0.1097,2,,,,trash,0.8468,0.0002,
aihub_paper_001785.jpg,fail,0.101,0.493,0.1926,0.3075,2,,,,trash,0.8092,0.0005,"area<0.18,offset>0.25"
aihub_paper_001786.jpg,fail,0.019,0.4608,0.3266,0.1778,1,,,,plastic,0.8438,0.0001,area<0.18
aihub_paper_001787.jpg,pass,0.4823,0.5079,0.5141,0.0162,1,,,,plastic,0.6592,0.0003,
