file,decision,area,cx,cy,offset,blob_count,model_top1,model_top1_prob,model_label_prob,reason
aihub_paper_001647.jpg,fail,0.0998,0.617,0.4053,0.1506,2,paper,0.9997,0.9997,area<0.18
aihub_paper_001648.jpg,fail,0.2394,0.5433,0.3164,0.1887,3,paper,0.9996,0.9996,blobs>2
aihub_paper_001649.jpg,fail,0.1013,0.6071,0.2638,0.2594,1,paper,0.9992,0.9992,"area<0.18,offset>0.25"
aihub_paper_001650.jpg,pass,0.2022,0.6154,0.661,0.1981,2,paper,0.9975,0.9975,
aihub_paper_001651.jpg,fail,0.2043,0.5112,0.2554,0.2449,3,paper,0.998,0.998,blobs>2
aihub_paper_001652.jpg,fail,0.2305,0.6953,0.6729,0.2608,2,paper,0.9996,0.9996,offset>0.25
aihub_paper_001653.jpg,fail,0.2634,0.5682,0.6294,0.1463,4,paper,0.996,0.996,blobs>2
aihub_paper_001654.jpg,fail,0.3166,0.522,0.4216,0.0814,4,paper,0.9248,0.9248,blobs>2
aihub_paper_001655.jpg,fail,0.0962,0.6152,0.5074,0.1154,1,paper,0.9934,0.9934,area<0.18
aihub_paper_001656.jpg,fail,0.2666,0.742,0.6004,0.262,1,paper,0.9671,0.9671,offset>0.25
aihub_paper_001657.jpg,fail,0.0579,0.5121,0.7561,0.2564,1,paper,0.9889,0.9889,"area<0.18,offset>0.25"
aihub_paper_001658.jpg,pass,0.6361,0.384,0.4279,0.1366,2,paper,0.9958,0.9958,
aihub_paper_001659.jpg,fail,0.2461,0.569,0.2469,0.2623,4,paper,0.9968,0.9968,"offset>0.25,blobs>2"
aihub_paper_001660.jpg,pass,0.2692,0.5261,0.5315,0.0409,1,paper,0.9994,0.9994,
aihub_paper_001661.jpg,fail,0.0762,0.553,0.4021,0.1113,3,paper,0.9992,0.9992,"area<0.18,blobs>2"
aihub_paper_001662.jpg,pass,0.5854,0.4546,0.4948,0.0457,1,paper,0.9981,0.9981,
aihub_paper_001663.jpg,fail,0.2042,0.6047,0.6535,0.1858,4,paper,0.9912,0.9912,blobs>2
aihub_paper_001664.jpg,pass,0.4445,0.4854,0.5197,0.0245,1,paper,0.9981,0.9981,
aihub_paper_001665.jpg,pass,0.2433,0.6413,0.3425,0.2116,1,paper,0.999,0.999,
aihub_paper_001666.jpg,fail,0.1186,0.5597,0.1889,0.3168,2,paper,0.9869,0.9869,"area<0.18,offset>0.25"
aihub_paper_001667.jpg,pass,0.2092,0.6838,0.5359,0.1873,2,paper,0.9961,0.9961,
aihub_paper_001668.jpg,fail,0.0883,0.2892,0.4945,0.2109,2,paper,0.9705,0.9705,area<0.18
aihub_paper_001669.jpg,fail,0.1882,0.6438,0.6962,0.2433,4,paper,0.999,0.999,blobs>2
aihub_paper_001670.jpg,fail,0.2628,0.5121,0.6126,0.1132,4,paper,0.9911,0.9911,blobs>2
aihub_paper_001671.jpg,fail,0.1179,0.3408,0.2325,0.3113,2,paper,0.8901,0.8901,"area<0.18,offset>0.25"
aihub_paper_001672.jpg,fail,0.2039,0.5595,0.1753,0.3301,1,paper,0.9995,0.9995,offset>0.25
aihub_paper_001673.jpg,fail,0.0988,0.8099,0.4888,0.3101,1,paper,0.8399,0.8399,"area<0.18,offset>0.25"
aihub_paper_001674.jpg,pass,0.2712,0.7204,0.4994,0.2204,1,paper,0.4786,0.4786,
aihub_paper_001675.jpg,fail,0.0976,0.8078,0.3734,0.3328,1,paper,0.5466,0.5466,"area<0.18,offset>0.25"
aihub_paper_001676.jpg,fail,0.1825,0.7166,0.257,0.3255,2,paper,0.9762,0.9762,offset>0.25
aihub_paper_001677.jpg,fail,0.141,0.6826,0.854,0.3983,1,paper,0.9995,0.9995,"area<0.18,offset>0.25"
aihub_paper_001678.jpg,fail,0.573,0.3518,0.5361,0.1525,4,paper,0.5532,0.5532,blobs>2
aihub_paper_001679.jpg,pass,0.2528,0.4249,0.3289,0.1868,1,paper,0.9721,0.9721,
aihub_paper_001680.jpg,fail,0.0859,0.325,0.4475,0.1828,2,paper,0.9975,0.9975,area<0.18
aihub_paper_001681.jpg,pass,0.3196,0.407,0.4505,0.1053,1,paper,0.8456,0.8456,
aihub_paper_001682.jpg,fail,0.1277,0.7326,0.1943,0.3841,1,paper,0.9993,0.9993,"area<0.18,offset>0.25"
aihub_paper_001683.jpg,fail,0.0362,0.3693,0.5225,0.1326,1,paper,0.8839,0.8839,area<0.18
aihub_paper_001684.jpg,fail,0.012,0.4191,0.572,0.1083,1,paper,0.9786,0.9786,area<0.18
aihub_paper_001685.jpg,pass,0.7001,0.3727,0.4846,0.1282,1,paper,0.9977,0.9977,
aihub_paper_001686.jpg,fail,0.0362,0.3564,0.3937,0.1787,3,paper,0.9975,0.9975,"area<0.18,blobs>2"
aihub_paper_001687.jpg,fail,0.5089,0.4523,0.4657,0.0588,5,paper,0.9883,0.9883,blobs>2
aihub_paper_001688.jpg,fail,0.1923,0.6171,0.4525,0.1263,3,paper,0.9999,0.9999,blobs>2
